UR_USER_NAME|UR_USER_SURNAME|UR_USER_LOGIN|UR_USER_PASSWORD|UR_USER_PASSWORD_CHANGED|UR_USER_STATUS|UR_USER_EMAIL|UR_ROLE_CUSTOM_CODE|UR_USER_PASSWORD_ENCRYPT
ABRAHÁN|LI FONTI|50000100|Abcd1234.|1|ACTIVE||CHECKER|
ELIZAR|BUFFON|50000101|Abcd1234.|1|ACTIVE||CHECKER|
ONOFRE|BALCAZAR|50000102|Abcd1234.|1|ACTIVE||CHECKER|
STANCIO|MAROTTA|50000103|Abcd1234.|1|ACTIVE||CHECKER|
EXECHIO|DEL CAMPO|50000104|Abcd1234.|1|ACTIVE||CHECKER|
JAIME|VASCO|50000105|Abcd1234.|1|ACTIVE||CHECKER|
GRACIA|AMAYA|50000106|Abcd1234.|1|ACTIVE||CHECKER|
CHOFI|PALMERO|50000107|Abcd1234.|1|ACTIVE||CHECKER|
EZIKIEL|BIANCHI|50000108|Abcd1234.|1|ACTIVE||CHECKER|
LOURDECITA|DE JESUS|50000109|Abcd1234.|1|ACTIVE||CHECKER|
LICHA|AGUILAR|50000110|Abcd1234.|1|ACTIVE||CHECKER|
MARTEZ|BURATTI|50000111|Abcd1234.|1|ACTIVE||CHECKER|
HUGO|URBANO|50000112|Abcd1234.|1|ACTIVE||CHECKER|
TAMASCIO|TOLEDO|50000113|Abcd1234.|1|ACTIVE||CHECKER|
JOSÉ|PENA|50000114|Abcd1234.|1|ACTIVE||CHECKER|
LUVENIA|IADANZA|50000115|Abcd1234.|1|ACTIVE||CHECKER|
CAMALA|CLEMENTE|50000116|Abcd1234.|1|ACTIVE||CHECKER|
PASCUALA|ALONZO|50000117|Abcd1234.|1|ACTIVE||CHECKER|
HUGÓN|DONATI|50000118|Abcd1234.|1|ACTIVE||CHECKER|
DOLORES|VARAS|50000119|Abcd1234.|1|ACTIVE||CHECKER|
LEONOR|MONTALTO|50000120|Abcd1234.|1|ACTIVE||CHECKER|
CHEFA|DELLUCCI|50000121|Abcd1234.|1|ACTIVE||CHECKER|
LLORA|ALVARO|50000122|Abcd1234.|1|ACTIVE||CHECKER|
NIGUEL|RIVERA|50000123|Abcd1234.|1|ACTIVE||CHECKER|
CONSTANCIA|TOCCI|50000124|Abcd1234.|1|ACTIVE||CHECKER|
PAQUITO|PASSERO|50000125|Abcd1234.|1|ACTIVE||CHECKER|
SANTIAGO|BELMONTE|50000126|Abcd1234.|1|ACTIVE||CHECKER|
JACOBO|ARMENDAREZ|50000127|Abcd1234.|1|ACTIVE||CHECKER|
GRAVIELLA|ALLESI|50000128|Abcd1234.|1|ACTIVE||CHECKER|
MATTÍAS|ALLESI|50000129|Abcd1234.|1|ACTIVE||CHECKER|
SILVIANO|CASTILLO|50000130|Abcd1234.|1|ACTIVE||CHECKER|
ALBIRA|ALFONSI|50000131|Abcd1234.|1|ACTIVE||CHECKER|
ROSALIND|RUBIO|50000132|Abcd1234.|1|ACTIVE||CHECKER|
TIMITO|FLORENTINO|50000133|Abcd1234.|1|ACTIVE||CHECKER|
