UR_USER_NAME|UR_USER_SURNAME|UR_USER_LOGIN|UR_USER_PASSWORD|UR_USER_PASSWORD_CHANGED|UR_USER_STATUS|UR_USER_EMAIL|UR_ROLE_CUSTOM_CODE|UR_USER_PASSWORD_ENCRYPT
ABRAHÁN|LI FONTI|50000100|Abcd1234.|0|ACTIVE|50000100@domain.com|CHECKER|
ELIZAR|BUFFON|50000101|Abcd1234.|0|ACTIVE|50000101@domain.com|CHECKER|
ONOFRE|BALCAZAR|50000102|Abcd1234.|0|ACTIVE|50000102@domain.com|CHECKER|
STANCIO|MAROTTA|50000103|Abcd1234.|0|ACTIVE|50000103@domain.com|CHECKER|
EXECHIO|DEL CAMPO|50000104|Abcd1234.|0|ACTIVE|50000104@domain.com|CHECKER|
JAIME|VASCO|50000105|Abcd1234.|0|ACTIVE|50000105@domain.com|CHECKER|
GRACIA|AMAYA|50000106|Abcd1234.|0|ACTIVE|50000106@domain.com|CHECKER|
CHOFI|PALMERO|50000107|Abcd1234.|0|ACTIVE|50000107@domain.com|CHECKER|
EZIKIEL|BIANCHI|50000108|Abcd1234.|0|ACTIVE|50000108@domain.com|CHECKER|
LOURDECITA|DE JESUS|50000109|Abcd1234.|0|ACTIVE|50000109@domain.com|CHECKER|
LICHA|AGUILAR|50000110|Abcd1234.|0|ACTIVE|50000110@domain.com|CHECKER|
MARTEZ|BURATTI|50000111|Abcd1234.|0|ACTIVE|50000111@domain.com|CHECKER|
HUGO|URBANO|50000112|Abcd1234.|0|ACTIVE|50000112@domain.com|CHECKER|
TAMASCIO|TOLEDO|50000113|Abcd1234.|0|ACTIVE|50000113@domain.com|CHECKER|
JOSÉ|PENA|50000114|Abcd1234.|0|ACTIVE|50000114@domain.com|CHECKER|
LUVENIA|IADANZA|50000115|Abcd1234.|0|ACTIVE|50000115@domain.com|CHECKER|
CAMALA|CLEMENTE|50000116|Abcd1234.|0|ACTIVE|50000116@domain.com|CHECKER|
PASCUALA|ALONZO|50000117|Abcd1234.|0|ACTIVE|50000117@domain.com|CHECKER|
HUGÓN|DONATI|50000118|Abcd1234.|0|ACTIVE|50000118@domain.com|CHECKER|
DOLORES|VARAS|50000119|Abcd1234.|0|ACTIVE|50000119@domain.com|CHECKER|
LEONOR|MONTALTO|50000120|Abcd1234.|0|ACTIVE|50000120@domain.com|CHECKER|
CHEFA|DELLUCCI|50000121|Abcd1234.|0|ACTIVE|50000121@domain.com|CHECKER|
LLORA|ALVARO|50000122|Abcd1234.|0|ACTIVE|50000122@domain.com|CHECKER|
NIGUEL|RIVERA|50000123|Abcd1234.|0|ACTIVE|50000123@domain.com|CHECKER|
CONSTANCIA|TOCCI|50000124|Abcd1234.|0|ACTIVE|50000124@domain.com|CHECKER|
PAQUITO|PASSERO|50000125|Abcd1234.|0|ACTIVE|50000125@domain.com|CHECKER|
SANTIAGO|BELMONTE|50000126|Abcd1234.|0|ACTIVE|50000126@domain.com|CHECKER|
JACOBO|ARMENDAREZ|50000127|Abcd1234.|0|ACTIVE|50000127@domain.com|CHECKER|
GRAVIELLA|ALLESI|50000128|Abcd1234.|0|ACTIVE|50000128@domain.com|CHECKER|
MATTÍAS|ALLESI|50000129|Abcd1234.|0|ACTIVE|50000129@domain.com|CHECKER|
SILVIANO|CASTILLO|50000130|Abcd1234.|0|ACTIVE|50000130@domain.com|CHECKER|
ALBIRA|ALFONSI|50000131|Abcd1234.|0|ACTIVE|50000131@domain.com|CHECKER|
ROSALIND|RUBIO|50000132|Abcd1234.|0|ACTIVE|50000132@domain.com|CHECKER|
TIMITO|FLORENTINO|50000133|Abcd1234.|0|ACTIVE|50000133@domain.com|CHECKER|
FAUSTO|PISANI|50000134|Abcd1234.|0|ACTIVE|50000134@domain.com|CHECKER|
NELIA|ALBANO|50000135|Abcd1234.|0|ACTIVE|50000135@domain.com|CHECKER|
VENCESLAO|CASAS|50000136|Abcd1234.|0|ACTIVE|50000136@domain.com|CHECKER|
RAYNALDO|PICCIO|50000137|Abcd1234.|0|ACTIVE|50000137@domain.com|CHECKER|
ROSALINDA|GIRARDI|50000138|Abcd1234.|0|ACTIVE|50000138@domain.com|CHECKER|
ISIDRO|PACCIORETTI|50000139|Abcd1234.|0|ACTIVE|50000139@domain.com|CHECKER|
ELODIA|GIORDANO|50000140|Abcd1234.|0|ACTIVE|50000140@domain.com|CHECKER|
GRAVIELLA|SANTAROSSA|50000141|Abcd1234.|0|ACTIVE|50000141@domain.com|CHECKER|
GRACIA|DI DONATO|50000142|Abcd1234.|0|ACTIVE|50000142@domain.com|CHECKER|
MATUSHA|AGUILAR|50000143|Abcd1234.|0|ACTIVE|50000143@domain.com|CHECKER|
MANUELA|DONNATIELLO|50000144|Abcd1234.|0|ACTIVE|50000144@domain.com|CHECKER|
GERALDINA|VELASQUEZ|50000145|Abcd1234.|0|ACTIVE|50000145@domain.com|CHECKER|
ESEKIAL|MUNOS|50000146|Abcd1234.|0|ACTIVE|50000146@domain.com|CHECKER|
NAIARA|SABBATINI|50000147|Abcd1234.|0|ACTIVE|50000147@domain.com|CHECKER|
EVARADO|VELASQUEZ|50000148|Abcd1234.|0|ACTIVE|50000148@domain.com|CHECKER|
SALVADORA|ABILA|50000149|Abcd1234.|0|ACTIVE|50000149@domain.com|CHECKER|
CEBRIÁN|D'AMORE|50000150|Abcd1234.|0|ACTIVE|50000150@domain.com|CHECKER|
FERNÁN|LI FONTI|50000151|Abcd1234.|0|ACTIVE|50000151@domain.com|CHECKER|
EMELDA|SASSO|50000152|Abcd1234.|0|ACTIVE|50000152@domain.com|CHECKER|
LICO|SANTOS|50000153|Abcd1234.|0|ACTIVE|50000153@domain.com|CHECKER|
ASENCION|ALLENDE|50000154|Abcd1234.|0|ACTIVE|50000154@domain.com|CHECKER|
TEODORO|CICCONE|50000155|Abcd1234.|0|ACTIVE|50000155@domain.com|CHECKER|
LUCIANA|BELLUCCI|50000156|Abcd1234.|0|ACTIVE|50000156@domain.com|CHECKER|
ELDORA|BRICHESE|50000157|Abcd1234.|0|ACTIVE|50000157@domain.com|CHECKER|
VENCESLÁS|TRINIDAD|50000158|Abcd1234.|0|ACTIVE|50000158@domain.com|CHECKER|
ANA|FANUCCI|50000159|Abcd1234.|0|ACTIVE|50000159@domain.com|CHECKER|
ELOI|CONSOLI|50000160|Abcd1234.|0|ACTIVE|50000160@domain.com|CHECKER|
HUNFRIDO|FAULMINO|50000161|Abcd1234.|0|ACTIVE|50000161@domain.com|CHECKER|
MAURITIO|DI DONATO|50000162|Abcd1234.|0|ACTIVE|50000162@domain.com|CHECKER|
FRIDERICO|AGUILAR|50000163|Abcd1234.|0|ACTIVE|50000163@domain.com|CHECKER|
LINDA|FIORENTINO|50000164|Abcd1234.|0|ACTIVE|50000164@domain.com|CHECKER|
SALVADOR|LUCCIANO|50000165|Abcd1234.|0|ACTIVE|50000165@domain.com|CHECKER|
FRASCO|TREVISAN|50000166|Abcd1234.|0|ACTIVE|50000166@domain.com|CHECKER|
GABRIELLA|SUAREZ|50000167|Abcd1234.|0|ACTIVE|50000167@domain.com|CHECKER|
NATIVIDAD|SALAZAR|50000168|Abcd1234.|0|ACTIVE|50000168@domain.com|CHECKER|
NICANDRO|VECOLI|50000169|Abcd1234.|0|ACTIVE|50000169@domain.com|CHECKER|
GUALTERIO|GENOVESE|50000170|Abcd1234.|0|ACTIVE|50000170@domain.com|CHECKER|
LOURDECITA|SILVERA|50000171|Abcd1234.|0|ACTIVE|50000171@domain.com|CHECKER|
RODERIGO|VOLTA|50000172|Abcd1234.|0|ACTIVE|50000172@domain.com|CHECKER|
RICARDO|FRONTERA|50000173|Abcd1234.|0|ACTIVE|50000173@domain.com|CHECKER|
CONSUELO|SPINA|50000174|Abcd1234.|0|ACTIVE|50000174@domain.com|CHECKER|
RODRIGUEZ|DEL CAMPO|50000175|Abcd1234.|0|ACTIVE|50000175@domain.com|CHECKER|
EMA|CICCONE|50000176|Abcd1234.|0|ACTIVE|50000176@domain.com|CHECKER|
EMALA|SANCHEZ|50000177|Abcd1234.|0|ACTIVE|50000177@domain.com|CHECKER|
XIMENES|DE PINTO|50000178|Abcd1234.|0|ACTIVE|50000178@domain.com|CHECKER|
